event_type,time
completion,30.0
arrival,31.0
arrival,31.0
arrival,31.0
arrival,31.0
arrival,31.0
arrival,31.0
arrival,31.0
arrival,31.0
completion,31.0
completion,31.0
completion,31.0
completion,31.0
completion,31.0
failure,32.0
arrival,32.0
arrival,32.0
arrival,32.0
arrival,32.0
arrival,32.0
arrival,32.0
arrival,32.0
arrival,32.0
completion,32.0
completion,32.0
completion,32.0
completion,32.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
arrival,33.0
completion,33.0
completion,33.0
completion,33.0
completion,33.0
failure,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
arrival,34.0
completion,34.0
completion,34.0
completion,34.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
arrival,35.0
completion,35.0
completion,35.0
completion,35.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
arrival,36.0
completion,36.0
completion,36.0
completion,36.0
recovery,37.0
arrival,37.0
arrival,37.0
arrival,37.0
arrival,37.0
arrival,37.0
arrival,37.0
arrival,37.0
arrival,37.0
arrival,37.0
arrival,37.0
completion,37.0
completion,37.0
arrival,38.0
arrival,38.0
arrival,38.0
arrival,38.0
arrival,38.0
arrival,38.0
arrival,38.0
arrival,38.0
completion,38.0
completion,38.0
completion,38.0
completion,38.0
recovery,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
arrival,39.0
completion,39.0
completion,39.0
completion,39.0
completion,39.0
arrival,40.0
arrival,40.0
arrival,40.0
arrival,40.0
arrival,40.0
arrival,40.0
arrival,40.0
arrival,40.0
arrival,40.0
completion,40.0
completion,40.0
completion,40.0
completion,40.0
arrival,41.0
arrival,41.0
arrival,41.0
arrival,41.0
arrival,41.0
arrival,41.0
arrival,41.0
completion,41.0
completion,41.0
completion,41.0
completion,41.0
arrival,42.0
arrival,42.0
arrival,42.0
arrival,42.0
arrival,42.0
arrival,42.0
arrival,42.0
arrival,42.0
completion,42.0
completion,42.0
completion,42.0
completion,42.0
completion,42.0
failure,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
arrival,43.0
completion,43.0
completion,43.0
completion,43.0
completion,43.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
arrival,44.0
completion,44.0
completion,44.0
completion,44.0
recovery,45.0
arrival,45.0
arrival,45.0
arrival,45.0
arrival,45.0
arrival,45.0
arrival,45.0
arrival,45.0
arrival,45.0
completion,45.0
completion,45.0
completion,45.0
completion,45.0
arrival,46.0
arrival,46.0
arrival,46.0
arrival,46.0
arrival,46.0
arrival,46.0
arrival,46.0
completion,46.0
completion,46.0
completion,46.0
completion,46.0
completion,46.0
arrival,47.0
arrival,47.0
arrival,47.0
arrival,47.0
arrival,47.0
arrival,47.0
arrival,47.0
arrival,47.0
arrival,47.0
completion,47.0
completion,47.0
completion,47.0
completion,47.0
arrival,48.0
arrival,48.0
arrival,48.0
arrival,48.0
arrival,48.0
arrival,48.0
completion,48.0
completion,48.0
completion,48.0
completion,48.0
completion,48.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
arrival,49.0
completion,49.0
completion,49.0
completion,49.0
completion,49.0
completion,49.0
arrival,50.0
arrival,50.0
arrival,50.0
arrival,50.0
arrival,50.0
arrival,50.0
arrival,50.0
arrival,50.0
arrival,50.0
arrival,50.0
completion,50.0
completion,50.0
completion,50.0
completion,50.0
completion,50.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
arrival,51.0
