time,queue_length,active_servers
1.0,7,5
2.0,8,5
3.0,16,4
4.0,25,5
5.0,29,4
6.0,33,4
7.0,38,4
8.0,46,4
9.0,50,4
10.0,56,4
11.0,58,5
12.0,64,5
13.0,70,5
14.0,73,5
15.0,82,4
16.0,84,5
17.0,86,5
18.0,90,5
19.0,95,5
20.0,95,5
21.0,98,3
22.0,109,1
23.0,120,2
24.0,125,3
25.0,130,2
26.0,141,2
27.0,151,2
28.0,162,3
29.0,168,3
30.0,178,4
31.0,182,4
32.0,186,4
33.0,193,5
34.0,203,5
35.0,211,5
36.0,220,5
37.0,226,5
38.0,230,5
39.0,241,5
40.0,245,5
41.0,247,5
42.0,250,5
43.0,258,5
44.0,269,5
45.0,272,5
46.0,274,5
47.0,280,4
48.0,282,4
49.0,293,5
50.0,298,5
51.0,311,5
52.0,316,5
53.0,319,5
54.0,328,4
55.0,326,5
56.0,337,5
57.0,338,5
58.0,340,5
59.0,344,5
60.0,352,4
61.0,357,4
62.0,365,4
63.0,371,4
64.0,378,4
65.0,386,4
66.0,397,5
67.0,400,5
68.0,402,5
69.0,410,5
70.0,416,5
71.0,428,4
72.0,434,3
73.0,444,2
74.0,452,3
75.0,452,5
76.0,457,5
77.0,463,5
78.0,470,5
79.0,473,5
80.0,479,5
81.0,487,4
82.0,489,4
83.0,494,4
84.0,504,4
85.0,512,4
86.0,515,4
87.0,518,5
88.0,524,5
89.0,534,5
90.0,537,5
91.0,548,4
92.0,551,4
93.0,565,3
94.0,575,2
95.0,579,2
96.0,592,2
97.0,603,2
98.0,608,4
99.0,614,5
100.0,622,5
101.0,636,3
102.0,642,3
103.0,650,3
104.0,657,3
105.0,662,3
106.0,661,3
107.0,671,3
108.0,672,5
109.0,680,5
110.0,687,5
111.0,696,3
112.0,702,4
113.0,711,4
114.0,715,5
115.0,719,5
116.0,720,5
117.0,725,5
118.0,732,5
119.0,745,5
120.0,752,4
121.0,758,4
122.0,762,5
123.0,760,5
124.0,765,5
125.0,771,5
126.0,773,5
127.0,777,5
128.0,785,4
129.0,789,5
130.0,794,5
131.0,802,4
132.0,813,5
133.0,817,5
134.0,822,5
135.0,833,5
136.0,835,5
137.0,835,5
138.0,837,4
139.0,839,3
140.0,848,5
141.0,858,5
142.0,866,3
143.0,875,3
144.0,880,4
145.0,893,3
146.0,901,4
147.0,907,4
148.0,914,3
149.0,924,5
150.0,936,5
151.0,943,5
152.0,946,5
153.0,946,5
154.0,952,5
155.0,958,4
156.0,960,4
157.0,967,4
158.0,968,4
159.0,975,5
160.0,980,5
161.0,984,5
162.0,994,4
163.0,1000,4
164.0,1003,3
165.0,1003,3
166.0,1013,3
167.0,1028,3
168.0,1032,4
169.0,1039,5
170.0,1043,5
171.0,1043,5
172.0,1048,5
173.0,1051,5
174.0,1056,5
175.0,1062,5
