time,queue_length,active_servers
1.0,8,4
2.0,10,5
3.0,18,4
4.0,30,3
5.0,32,5
6.0,36,5
7.0,40,5
8.0,49,4
9.0,52,5
10.0,57,5
11.0,60,5
12.0,66,5
13.0,72,5
14.0,75,5
15.0,83,5
16.0,86,4
17.0,89,4
18.0,93,4
19.0,99,4
20.0,99,5
21.0,97,5
22.0,101,5
23.0,111,4
24.0,117,3
25.0,121,3
26.0,131,3
27.0,142,2
28.0,152,3
29.0,157,4
30.0,167,4
31.0,171,4
32.0,175,5
33.0,182,5
34.0,192,5
35.0,200,5
36.0,210,4
37.0,215,5
38.0,218,5
39.0,232,3
40.0,239,3
41.0,242,4
42.0,246,4
43.0,254,5
44.0,264,5
45.0,268,5
46.0,270,5
47.0,274,5
48.0,276,5
49.0,287,5
50.0,294,4
51.0,309,4
52.0,315,4
53.0,319,4
54.0,326,4
55.0,324,5
56.0,334,5
57.0,335,5
58.0,337,5
59.0,341,5
60.0,347,5
61.0,350,5
62.0,358,5
63.0,363,5
64.0,370,5
65.0,378,5
66.0,389,5
67.0,392,5
68.0,394,5
69.0,402,5
70.0,407,5
71.0,417,5
72.0,420,5
73.0,426,5
74.0,432,5
75.0,432,5
76.0,439,5
77.0,445,5
78.0,453,5
79.0,456,5
80.0,462,5
81.0,468,5
82.0,470,4
83.0,474,4
84.0,485,4
85.0,493,4
86.0,496,4
87.0,501,4
88.0,507,5
89.0,517,5
90.0,520,5
91.0,529,5
92.0,532,4
93.0,543,5
94.0,549,5
95.0,551,5
96.0,560,5
97.0,567,5
98.0,571,5
99.0,580,3
100.0,590,3
101.0,603,3
102.0,609,4
103.0,616,4
104.0,622,4
105.0,626,4
106.0,622,5
107.0,630,5
108.0,633,4
109.0,644,3
110.0,651,4
111.0,659,3
112.0,664,5
113.0,675,4
114.0,681,4
115.0,685,5
116.0,686,5
117.0,693,4
118.0,702,4
119.0,715,4
120.0,722,5
121.0,726,5
122.0,732,4
123.0,731,4
124.0,736,5
125.0,741,5
126.0,742,5
127.0,746,5
128.0,752,5
129.0,756,5
130.0,761,5
131.0,767,5
132.0,779,5
133.0,787,3
134.0,794,4
135.0,805,5
136.0,807,5
137.0,809,4
138.0,812,3
139.0,813,4
140.0,823,4
141.0,831,5
142.0,834,5
143.0,842,5
144.0,846,5
145.0,855,5
146.0,862,5
147.0,868,5
148.0,873,5
149.0,883,5
150.0,898,4
151.0,906,4
152.0,910,4
153.0,912,4
154.0,917,4
155.0,921,4
156.0,925,3
157.0,933,3
158.0,935,3
159.0,943,4
160.0,950,3
161.0,956,3
162.0,965,4
163.0,970,4
164.0,972,4
165.0,971,4
166.0,978,5
167.0,991,5
168.0,994,5
169.0,1000,5
170.0,1004,5
171.0,1003,5
172.0,1010,4
173.0,1014,5
174.0,1019,5
175.0,1029,4
176.0,1039,3
177.0,1044,3
178.0,1053,3
179.0,1061,3
180.0,1061,3
181.0,1068,3
182.0,1076,3
183.0,1086,5
184.0,1090,5
185.0,1101,4
186.0,1106,4
187.0,1119,4
188.0,1122,4
189.0,1128,5
190.0,1133,5
191.0,1138,5
192.0,1147,3
193.0,1158,3
194.0,1159,5
195.0,1168,5
196.0,1175,5
197.0,1176,5
198.0,1179,5
199.0,1185,4
200.0,1195,5
201.0,1201,5
202.0,1205,5
203.0,1211,5
204.0,1216,5
205.0,1222,5
206.0,1221,5
207.0,1224,4
208.0,1226,4
209.0,1228,5
210.0,1239,5
211.0,1246,5
212.0,1250,4
213.0,1252,4
214.0,1253,5
215.0,1256,4
216.0,1260,4
217.0,1268,4
218.0,1275,4
219.0,1275,4
220.0,1278,4
221.0,1284,4
222.0,1291,4
223.0,1297,4
224.0,1303,5
225.0,1303,5
226.0,1308,5
227.0,1313,4
228.0,1318,3
229.0,1321,3
230.0,1328,4
231.0,1337,4
232.0,1338,4
233.0,1344,5
234.0,1348,5
235.0,1351,5
236.0,1357,5
237.0,1363,5
238.0,1363,5
239.0,1365,5
240.0,1368,5
241.0,1368,5
242.0,1376,5
243.0,1379,4
244.0,1390,5
245.0,1397,5
246.0,1405,5
247.0,1408,5
248.0,1413,5
249.0,1417,5
250.0,1421,4
251.0,1427,4
252.0,1431,4
253.0,1434,5
254.0,1436,5
255.0,1446,4
256.0,1451,5
257.0,1454,4
258.0,1468,3
259.0,1472,3
260.0,1475,4
261.0,1482,5
262.0,1487,5
263.0,1493,4
264.0,1498,4
265.0,1506,4
266.0,1514,4
267.0,1519,4
268.0,1530,4
269.0,1537,5
270.0,1541,4
271.0,1548,5
272.0,1549,5
273.0,1551,5
274.0,1555,5
275.0,1558,4
276.0,1567,4
277.0,1572,4
278.0,1579,5
279.0,1588,4
280.0,1591,4
281.0,1593,5
282.0,1599,5
283.0,1600,5
284.0,1605,5
285.0,1616,5
286.0,1624,5
287.0,1630,5
288.0,1635,5
289.0,1643,3
290.0,1645,4
291.0,1654,5
292.0,1662,4
293.0,1662,4
294.0,1670,5
295.0,1675,5
296.0,1680,4
297.0,1690,3
298.0,1694,3
299.0,1695,5
300.0,1700,5
301.0,1711,5
302.0,1718,5
303.0,1719,5
304.0,1724,5
305.0,1727,5
306.0,1733,5
307.0,1742,5
308.0,1747,5
309.0,1754,4
310.0,1755,5
311.0,1760,5
312.0,1766,5
313.0,1776,4
314.0,1778,5
315.0,1788,4
316.0,1795,4
317.0,1795,5
318.0,1804,5
319.0,1811,5
320.0,1816,4
321.0,1819,4
322.0,1822,4
323.0,1826,5
324.0,1834,5
325.0,1838,4
326.0,1845,4
327.0,1851,5
328.0,1856,5
329.0,1864,5
330.0,1873,5
331.0,1877,5
332.0,1880,5
333.0,1887,5
334.0,1888,5
335.0,1888,5
336.0,1893,5
337.0,1901,4
338.0,1905,4
339.0,1915,4
340.0,1923,4
341.0,1927,5
342.0,1934,4
343.0,1934,5
344.0,1936,5
345.0,1939,5
346.0,1946,5
347.0,1953,5
348.0,1960,5
349.0,1970,4
350.0,1976,4
351.0,1980,4
352.0,1980,5
353.0,1987,5
354.0,1995,5
355.0,2003,5
356.0,2010,3
357.0,2018,2
358.0,2031,2
359.0,2045,3
360.0,2049,3
361.0,2059,4
362.0,2067,5
363.0,2069,5
364.0,2080,5
365.0,2082,5
366.0,2092,5
367.0,2099,5
368.0,2110,5
369.0,2113,5
370.0,2117,4
371.0,2121,4
372.0,2120,5
373.0,2125,5
374.0,2128,5
375.0,2138,5
376.0,2140,5
377.0,2149,5
378.0,2160,4
379.0,2172,4
380.0,2184,3
381.0,2190,4
382.0,2198,5
383.0,2203,5
384.0,2206,5
385.0,2212,4
386.0,2216,4
387.0,2213,5
388.0,2223,2
389.0,2233,3
390.0,2239,4
391.0,2254,3
392.0,2262,3
393.0,2276,3
394.0,2284,4
395.0,2287,4
396.0,2290,4
397.0,2299,4
398.0,2304,4
399.0,2311,5
400.0,2321,4
401.0,2324,4
402.0,2331,4
403.0,2334,5
404.0,2340,5
405.0,2340,5
406.0,2346,4
407.0,2354,5
408.0,2354,5
409.0,2364,4
410.0,2374,4
411.0,2379,5
412.0,2389,4
413.0,2397,4
414.0,2400,5
415.0,2408,5
416.0,2415,5
417.0,2424,4
418.0,2434,4
419.0,2446,3
420.0,2453,2
421.0,2464,3
422.0,2472,3
423.0,2479,4
424.0,2490,3
425.0,2499,4
426.0,2514,4
427.0,2524,3
428.0,2530,3
429.0,2529,5
430.0,2532,5
431.0,2539,5
432.0,2547,5
433.0,2554,4
434.0,2564,3
435.0,2569,4
436.0,2577,4
437.0,2577,5
438.0,2584,5
439.0,2596,5
440.0,2600,5
441.0,2604,5
442.0,2614,5
443.0,2616,5
444.0,2622,5
445.0,2631,5
446.0,2645,5
447.0,2655,4
448.0,2657,4
449.0,2667,5
450.0,2677,4
451.0,2678,4
452.0,2686,5
453.0,2688,5
454.0,2687,5
455.0,2690,5
456.0,2693,5
457.0,2697,5
458.0,2705,4
459.0,2715,4
460.0,2721,4
461.0,2722,5
462.0,2729,5
463.0,2735,5
464.0,2738,5
465.0,2741,4
466.0,2746,4
467.0,2755,3
468.0,2764,4
469.0,2766,4
470.0,2774,4
471.0,2778,4
472.0,2784,4
473.0,2789,4
474.0,2794,5
475.0,2794,5
476.0,2796,5
477.0,2807,4
478.0,2812,3
479.0,2819,4
480.0,2827,3
481.0,2833,2
482.0,2834,3
483.0,2837,4
484.0,2845,4
485.0,2849,4
486.0,2858,5
487.0,2865,4
488.0,2871,4
489.0,2882,4
490.0,2886,4
491.0,2896,5
492.0,2902,5
493.0,2911,5
494.0,2912,5
495.0,2927,5
496.0,2936,5
497.0,2940,5
498.0,2944,5
499.0,2945,5
500.0,2959,5
501.0,2965,5
502.0,2973,5
503.0,2987,5
504.0,2991,5
505.0,2993,5
506.0,2996,5
507.0,3005,3
508.0,3012,4
509.0,3014,4
510.0,3021,5
511.0,3023,5
512.0,3027,5
513.0,3024,5
514.0,3027,5
515.0,3027,4
516.0,3037,3
517.0,3042,4
518.0,3049,4
519.0,3050,5
520.0,3053,5
521.0,3055,5
522.0,3069,5
523.0,3076,5
524.0,3086,5
525.0,3091,5
526.0,3100,5
527.0,3108,5
528.0,3110,5
529.0,3116,4
530.0,3117,5
531.0,3125,4
532.0,3134,5
533.0,3137,5
534.0,3147,4
535.0,3157,4
536.0,3162,5
537.0,3167,4
538.0,3172,4
539.0,3178,4
540.0,3181,4
541.0,3184,4
542.0,3192,4
543.0,3198,5
544.0,3202,5
545.0,3207,5
546.0,3213,4
547.0,3222,3
548.0,3229,4
549.0,3238,5
550.0,3250,5
551.0,3254,4
552.0,3259,4
553.0,3265,4
554.0,3270,4
555.0,3279,4
556.0,3283,4
557.0,3291,4
558.0,3296,4
559.0,3299,4
560.0,3301,5
561.0,3311,4
562.0,3318,4
563.0,3333,4
564.0,3342,5
565.0,3354,5
566.0,3359,4
567.0,3366,4
568.0,3370,4
569.0,3379,4
570.0,3388,4
571.0,3396,4
572.0,3403,4
573.0,3410,4
574.0,3413,4
575.0,3420,4
576.0,3422,5
577.0,3428,5
578.0,3435,5
579.0,3439,5
580.0,3442,4
581.0,3450,4
582.0,3454,4
583.0,3457,4
584.0,3460,4
585.0,3460,4
586.0,3462,5
587.0,3471,5
588.0,3476,5
589.0,3479,5
590.0,3484,5
591.0,3492,4
592.0,3495,5
593.0,3495,5
594.0,3505,4
595.0,3518,4
596.0,3523,5
597.0,3528,5
598.0,3533,5
599.0,3533,5
600.0,3534,5
601.0,3537,5
602.0,3542,5
603.0,3546,5
604.0,3554,4
605.0,3566,4
606.0,3574,3
607.0,3584,3
608.0,3586,3
609.0,3593,4
610.0,3595,4
611.0,3606,4
612.0,3613,4
613.0,3620,2
614.0,3626,3
615.0,3633,3
616.0,3648,3
617.0,3652,5
618.0,3656,5
619.0,3662,5
620.0,3668,5
621.0,3669,5
622.0,3678,5
623.0,3680,5
624.0,3684,5
625.0,3691,5
626.0,3699,5
627.0,3703,5
628.0,3708,5
629.0,3712,5
630.0,3716,5
631.0,3726,4
632.0,3735,4
633.0,3739,5
634.0,3747,5
635.0,3755,4
636.0,3769,5
637.0,3774,3
638.0,3780,3
639.0,3782,3
640.0,3784,4
641.0,3792,4
642.0,3797,4
643.0,3803,4
644.0,3811,5
645.0,3820,4
646.0,3826,4
647.0,3834,4
648.0,3833,5
649.0,3835,5
650.0,3841,5
651.0,3838,5
652.0,3845,5
653.0,3844,5
654.0,3856,5
655.0,3859,5
656.0,3862,5
657.0,3869,5
658.0,3870,5
659.0,3874,5
660.0,3878,5
661.0,3885,5
662.0,3888,5
663.0,3894,5
664.0,3902,4
665.0,3913,3
666.0,3921,3
667.0,3930,4
668.0,3931,5
669.0,3943,5
