time,queue_length,active_servers
1.0,7,5
2.0,8,5
3.0,14,5
4.0,25,4
5.0,28,4
6.0,33,4
7.0,37,5
8.0,43,5
9.0,46,5
10.0,52,5
11.0,55,5
12.0,63,4
13.0,70,5
14.0,76,4
15.0,85,4
16.0,87,4
17.0,89,5
18.0,93,5
19.0,99,5
20.0,101,4
21.0,99,5
22.0,103,5
23.0,111,5
24.0,114,5
25.0,115,5
26.0,123,5
27.0,130,5
28.0,138,5
29.0,142,5
30.0,155,3
31.0,158,5
32.0,163,4
33.0,171,4
34.0,182,4
35.0,191,4
36.0,199,5
37.0,206,4
38.0,210,4
39.0,220,5
40.0,224,5
41.0,226,5
42.0,232,4
43.0,243,3
44.0,255,3
45.0,258,5
46.0,260,5
47.0,264,5
48.0,265,5
49.0,277,5
50.0,282,5
51.0,295,5
52.0,302,4
53.0,308,3
54.0,315,4
55.0,315,4
56.0,326,4
57.0,329,4
58.0,331,5
59.0,335,5
60.0,341,5
61.0,344,5
62.0,351,5
63.0,356,5
64.0,362,5
65.0,369,5
66.0,381,5
67.0,384,5
68.0,386,5
69.0,395,5
70.0,401,5
71.0,411,5
72.0,414,5
73.0,422,4
74.0,428,5
75.0,428,5
76.0,433,5
77.0,439,5
78.0,448,4
79.0,452,4
80.0,461,3
81.0,469,4
82.0,469,5
83.0,472,5
84.0,482,4
85.0,490,4
86.0,493,4
87.0,499,3
88.0,507,3
89.0,522,3
90.0,529,2
91.0,540,3
92.0,543,3
93.0,556,4
94.0,562,5
95.0,566,4
96.0,576,4
97.0,584,5
98.0,591,4
99.0,598,4
100.0,607,4
101.0,617,5
102.0,624,4
103.0,630,5
104.0,635,5
105.0,640,4
106.0,637,4
107.0,648,3
108.0,649,5
109.0,657,5
110.0,663,5
111.0,668,5
112.0,675,4
113.0,685,4
114.0,690,4
115.0,696,4
116.0,698,4
117.0,706,3
118.0,715,3
119.0,731,2
120.0,738,3
121.0,743,4
122.0,749,4
123.0,748,4
124.0,755,4
125.0,761,4
126.0,765,3
127.0,770,5
128.0,776,5
129.0,781,5
130.0,788,4
131.0,795,4
132.0,807,4
133.0,814,3
134.0,822,3
135.0,834,4
136.0,838,4
137.0,840,4
138.0,841,4
139.0,840,5
140.0,851,4
141.0,860,4
142.0,865,4
143.0,873,4
144.0,878,4
145.0,888,4
146.0,898,3
147.0,905,3
148.0,909,5
149.0,919,5
150.0,931,5
151.0,937,5
152.0,940,5
153.0,941,5
154.0,947,4
155.0,951,4
156.0,953,4
157.0,959,5
158.0,959,5
159.0,966,5
160.0,971,5
161.0,975,5
162.0,983,5
163.0,988,5
164.0,988,5
165.0,988,4
166.0,996,4
167.0,1011,5
168.0,1015,5
169.0,1022,5
170.0,1026,5
171.0,1024,5
172.0,1029,5
173.0,1032,5
174.0,1037,5
175.0,1047,4
