time,queue_length,active_servers
1.0,8,4
2.0,11,4
3.0,18,4
4.0,30,3
5.0,32,5
6.0,37,4
7.0,42,4
8.0,48,5
9.0,51,5
10.0,57,5
11.0,59,5
12.0,65,5
13.0,72,5
14.0,77,5
15.0,84,5
16.0,86,5
17.0,88,5
18.0,91,5
19.0,96,5
20.0,97,5
21.0,95,5
22.0,99,5
23.0,107,5
24.0,110,5
25.0,111,5
26.0,119,5
27.0,126,5
28.0,134,5
29.0,140,4
30.0,149,5
31.0,152,5
32.0,157,4
33.0,165,4
34.0,178,3
35.0,188,3
36.0,198,3
37.0,205,4
38.0,209,4
39.0,219,5
40.0,224,5
41.0,227,5
42.0,230,5
43.0,240,4
44.0,252,4
45.0,255,5
46.0,257,5
47.0,262,5
48.0,263,5
49.0,274,5
50.0,279,5
51.0,292,5
52.0,299,4
53.0,305,3
54.0,313,4
55.0,312,4
56.0,323,4
57.0,324,5
58.0,326,5
59.0,331,5
60.0,337,5
61.0,340,5
62.0,347,5
63.0,352,5
64.0,358,5
65.0,365,5
66.0,378,4
67.0,383,4
68.0,387,4
69.0,396,4
70.0,401,5
71.0,411,5
72.0,414,5
73.0,420,5
74.0,426,5
75.0,426,5
76.0,431,5
77.0,439,4
78.0,447,4
79.0,452,4
80.0,459,4
81.0,466,5
82.0,466,5
83.0,470,5
84.0,478,5
85.0,486,4
86.0,491,3
87.0,496,4
88.0,507,2
89.0,519,4
90.0,523,4
91.0,533,5
92.0,534,5
93.0,546,5
94.0,552,5
95.0,553,5
96.0,562,5
97.0,570,5
98.0,574,5
99.0,579,5
100.0,587,5
101.0,597,5
102.0,603,4
103.0,612,3
104.0,620,3
105.0,624,4
106.0,621,5
107.0,630,5
108.0,631,5
109.0,639,5
110.0,645,5
111.0,655,3
112.0,662,3
113.0,671,4
114.0,677,4
115.0,683,4
116.0,685,4
117.0,690,5
118.0,697,5
119.0,709,5
120.0,714,5
121.0,718,5
122.0,724,4
123.0,722,5
124.0,728,5
125.0,733,5
126.0,734,5
127.0,738,5
128.0,745,5
129.0,749,5
130.0,755,5
131.0,762,5
132.0,773,5
133.0,777,5
134.0,782,5
135.0,794,5
136.0,798,4
137.0,799,4
138.0,800,4
139.0,799,5
140.0,808,5
141.0,816,5
142.0,819,5
143.0,828,4
144.0,832,5
145.0,842,5
146.0,849,5
147.0,855,5
148.0,859,5
149.0,870,5
150.0,882,5
151.0,888,5
152.0,891,5
153.0,893,4
154.0,899,4
155.0,905,3
156.0,907,4
157.0,914,4
158.0,914,5
159.0,923,4
160.0,928,4
161.0,933,5
162.0,942,5
163.0,946,5
164.0,948,4
165.0,946,5
166.0,955,4
167.0,969,4
168.0,977,2
169.0,984,4
170.0,989,5
171.0,988,5
172.0,993,5
173.0,996,5
174.0,1001,5
175.0,1007,5
176.0,1014,5
177.0,1019,4
178.0,1027,4
179.0,1036,3
180.0,1035,4
181.0,1040,5
182.0,1047,5
183.0,1056,5
184.0,1060,5
185.0,1070,5
186.0,1076,4
187.0,1088,5
188.0,1090,5
189.0,1097,5
190.0,1102,5
191.0,1107,5
192.0,1112,5
193.0,1121,5
194.0,1124,4
195.0,1134,4
196.0,1141,5
197.0,1143,5
198.0,1147,5
199.0,1152,5
200.0,1162,5
201.0,1167,5
202.0,1172,5
203.0,1179,4
204.0,1186,4
205.0,1192,5
206.0,1191,5
207.0,1193,5
208.0,1194,5
209.0,1197,5
210.0,1207,5
211.0,1214,5
212.0,1216,5
213.0,1217,5
214.0,1219,5
215.0,1220,5
216.0,1223,5
217.0,1228,5
218.0,1234,5
219.0,1233,5
220.0,1236,5
221.0,1241,5
222.0,1247,5
223.0,1252,5
224.0,1259,4
225.0,1259,5
226.0,1264,5
227.0,1267,5
228.0,1270,5
229.0,1271,5
230.0,1279,4
231.0,1290,3
232.0,1291,4
233.0,1298,4
234.0,1305,3
235.0,1308,5
236.0,1314,5
237.0,1320,5
238.0,1320,5
239.0,1322,5
240.0,1324,5
241.0,1325,5
242.0,1333,5
243.0,1335,5
244.0,1346,5
245.0,1352,5
246.0,1361,5
247.0,1365,5
248.0,1370,5
249.0,1375,5
250.0,1379,4
251.0,1385,4
252.0,1391,3
253.0,1397,3
254.0,1400,4
255.0,1409,5
256.0,1417,4
257.0,1421,3
258.0,1433,4
259.0,1434,5
260.0,1436,5
261.0,1445,4
262.0,1449,5
263.0,1453,5
264.0,1457,5
265.0,1462,5
266.0,1470,5
