time,queue_length,active_servers
1.0,7,5
2.0,8,5
3.0,14,5
4.0,25,4
5.0,27,5
6.0,30,5
7.0,34,5
8.0,40,5
9.0,43,5
10.0,48,5
11.0,51,5
12.0,57,5
13.0,63,5
14.0,68,4
15.0,79,3
16.0,82,3
17.0,88,2
18.0,93,3
19.0,99,4
20.0,99,5
21.0,99,4
22.0,103,5
23.0,113,4
24.0,116,5
25.0,117,5
26.0,125,5
27.0,132,5
28.0,141,5
29.0,148,4
30.0,157,5
31.0,162,4
32.0,167,4
33.0,177,3
34.0,188,4
35.0,196,5
36.0,206,4
37.0,214,3
38.0,220,3
39.0,232,3
40.0,237,4
41.0,239,5
42.0,242,5
43.0,250,5
44.0,260,5
45.0,263,5
46.0,267,4
47.0,272,4
48.0,276,3
49.0,290,3
50.0,299,2
51.0,313,4
52.0,321,3
53.0,324,5
54.0,330,5
55.0,328,5
56.0,338,5
57.0,341,4
58.0,345,4
59.0,351,4
60.0,358,4
61.0,363,4
62.0,374,3
63.0,384,2
64.0,394,2
65.0,403,3
66.0,414,5
67.0,417,5
68.0,419,5
69.0,429,4
70.0,439,2
71.0,452,2
72.0,458,2
73.0,467,2
74.0,475,3
75.0,476,4
76.0,481,5
77.0,487,5
78.0,494,5
79.0,497,5
80.0,505,4
81.0,512,4
82.0,512,5
83.0,517,4
84.0,529,3
85.0,539,3
86.0,542,4
87.0,548,3
88.0,555,4
89.0,565,5
90.0,570,4
91.0,580,4
92.0,582,4
93.0,593,5
94.0,599,5
95.0,602,4
96.0,613,4
97.0,622,4
98.0,627,4
99.0,634,5
100.0,642,5
101.0,652,5
102.0,657,5
103.0,665,4
104.0,670,5
105.0,675,4
106.0,671,5
107.0,679,5
108.0,681,5
109.0,691,4
110.0,698,4
111.0,704,4
112.0,710,4
113.0,722,3
114.0,727,4
115.0,732,4
116.0,736,4
117.0,742,5
118.0,755,2
119.0,767,5
120.0,772,5
121.0,776,5
122.0,780,5
123.0,778,5
124.0,783,5
125.0,788,5
126.0,791,4
127.0,798,3
128.0,805,4
129.0,809,5
130.0,815,5
131.0,823,4
132.0,835,4
133.0,839,5
134.0,844,5
135.0,855,5
136.0,857,5
137.0,859,4
138.0,860,5
139.0,859,5
140.0,871,4
141.0,880,4
142.0,884,4
143.0,892,4
144.0,899,3
145.0,909,4
146.0,917,4
147.0,924,4
148.0,931,3
149.0,942,4
150.0,955,4
151.0,962,4
152.0,966,4
153.0,967,4
154.0,972,4
155.0,976,4
156.0,977,5
157.0,983,5
158.0,983,5
159.0,992,4
160.0,999,4
161.0,1006,3
162.0,1015,5
163.0,1019,5
164.0,1019,5
165.0,1017,5
166.0,1024,5
167.0,1037,5
168.0,1041,5
169.0,1048,5
170.0,1052,5
171.0,1051,5
172.0,1056,5
173.0,1059,5
174.0,1064,5
175.0,1071,5
