time,queue_length,active_servers
1.0,7,5
2.0,8,5
3.0,16,4
4.0,26,4
5.0,29,4
6.0,33,4
7.0,38,4
8.0,45,4
9.0,49,4
10.0,55,4
11.0,57,5
12.0,65,4
13.0,72,4
14.0,76,4
15.0,84,4
16.0,87,4
17.0,89,5
18.0,93,5
19.0,103,3
20.0,104,4
21.0,106,3
22.0,111,4
23.0,120,4
24.0,124,4
25.0,125,5
26.0,134,5
27.0,143,4
28.0,152,5
29.0,156,5
30.0,165,5
31.0,168,5
32.0,171,5
33.0,178,5
34.0,189,5
35.0,198,5
36.0,206,5
37.0,211,5
38.0,214,5
39.0,224,5
40.0,228,5
41.0,230,5
42.0,233,5
43.0,243,5
44.0,255,4
45.0,260,4
46.0,262,5
47.0,268,4
48.0,271,4
49.0,284,4
50.0,289,5
51.0,302,5
52.0,307,5
53.0,310,5
54.0,316,5
55.0,316,5
56.0,326,5
57.0,331,3
58.0,334,4
59.0,339,4
60.0,345,5
61.0,349,5
62.0,356,5
63.0,362,5
64.0,369,5
65.0,376,5
66.0,391,3
67.0,395,4
68.0,398,5
69.0,408,4
70.0,414,4
71.0,424,5
72.0,427,5
73.0,434,5
74.0,440,5
75.0,441,5
76.0,449,4
77.0,455,5
78.0,462,5
79.0,465,5
80.0,471,5
81.0,477,5
82.0,477,5
83.0,480,5
84.0,488,5
85.0,495,5
86.0,497,5
87.0,500,5
88.0,508,4
89.0,518,5
90.0,521,5
91.0,530,5
92.0,532,5
93.0,543,5
94.0,550,5
95.0,551,5
96.0,562,4
97.0,571,4
98.0,575,5
99.0,580,5
100.0,588,5
101.0,598,5
102.0,602,5
103.0,610,4
104.0,616,4
105.0,619,5
106.0,616,5
107.0,624,5
108.0,625,5
109.0,633,5
110.0,639,5
111.0,646,5
112.0,653,4
113.0,662,4
114.0,666,5
115.0,671,5
116.0,674,5
117.0,679,5
118.0,690,3
119.0,704,3
120.0,710,4
121.0,714,5
122.0,718,5
123.0,716,5
124.0,723,4
125.0,729,4
126.0,732,4
127.0,737,4
128.0,743,5
129.0,747,5
130.0,755,4
131.0,762,4
132.0,773,5
133.0,779,4
134.0,784,5
135.0,795,5
136.0,799,4
137.0,800,4
138.0,801,4
139.0,800,5
140.0,814,3
141.0,823,4
142.0,827,4
143.0,835,4
144.0,840,4
145.0,851,4
146.0,858,5
147.0,867,3
148.0,872,4
149.0,882,5
150.0,896,4
151.0,903,4
152.0,909,3
153.0,910,4
154.0,915,4
155.0,921,4
156.0,922,5
157.0,928,5
158.0,928,5
159.0,935,5
160.0,941,4
161.0,946,4
162.0,954,5
163.0,960,4
164.0,961,4
165.0,962,3
166.0,970,4
167.0,984,4
168.0,988,4
169.0,997,3
170.0,1001,5
171.0,1000,5
172.0,1005,5
173.0,1009,5
174.0,1014,5
175.0,1020,5
176.0,1029,4
