time,queue_length,active_servers
1.0,7,5
2.0,8,5
3.0,18,3
4.0,30,3
5.0,33,4
6.0,38,4
7.0,45,3
8.0,51,5
9.0,56,4
10.0,62,4
11.0,64,5
12.0,71,5
13.0,79,4
14.0,83,4
15.0,93,3
16.0,94,5
17.0,98,4
18.0,103,4
19.0,112,3
20.0,113,4
21.0,112,5
22.0,118,4
23.0,126,5
24.0,130,5
25.0,134,4
26.0,142,5
27.0,149,5
28.0,157,5
29.0,161,5
30.0,170,5
31.0,174,5
32.0,177,5
33.0,184,5
34.0,194,5
35.0,202,5
36.0,212,4
37.0,221,3
38.0,228,2
39.0,240,4
40.0,244,5
41.0,246,5
42.0,251,4
43.0,260,5
44.0,270,5
45.0,273,5
46.0,277,4
47.0,284,3
48.0,287,3
49.0,298,5
50.0,303,5
51.0,316,5
52.0,325,3
53.0,328,5
54.0,335,5
55.0,333,5
56.0,343,5
57.0,344,5
58.0,346,5
59.0,352,4
60.0,361,3
61.0,364,5
62.0,372,5
63.0,377,5
64.0,383,5
65.0,392,4
66.0,403,5
67.0,406,5
68.0,408,5
69.0,416,5
70.0,421,5
71.0,433,4
72.0,437,4
73.0,443,5
74.0,449,5
75.0,451,4
76.0,457,5
77.0,463,5
78.0,472,4
79.0,476,4
80.0,484,4
81.0,491,4
82.0,491,5
83.0,494,5
84.0,504,4
85.0,513,4
86.0,517,4
87.0,521,4
88.0,527,5
89.0,539,4
90.0,543,4
91.0,552,5
92.0,553,5
93.0,564,5
94.0,570,5
95.0,573,4
96.0,584,4
97.0,591,5
98.0,595,5
99.0,600,5
100.0,610,5
101.0,620,5
102.0,624,5
103.0,631,5
104.0,636,5
105.0,639,5
106.0,639,4
107.0,648,4
108.0,652,3
109.0,665,2
110.0,673,3
111.0,680,3
112.0,686,5
113.0,694,5
114.0,698,5
115.0,702,5
116.0,703,5
117.0,709,5
118.0,716,5
119.0,730,5
120.0,737,4
121.0,742,4
122.0,748,4
123.0,747,4
124.0,753,4
125.0,758,5
126.0,760,5
127.0,764,5
128.0,770,5
129.0,774,5
130.0,781,4
131.0,789,4
132.0,801,4
133.0,805,5
134.0,811,5
135.0,822,5
136.0,825,5
137.0,826,5
138.0,826,5
139.0,825,5
140.0,834,5
141.0,842,5
142.0,847,4
143.0,858,3
144.0,865,3
145.0,874,5
146.0,881,5
147.0,886,5
148.0,894,3
149.0,906,3
150.0,921,3
151.0,929,3
152.0,933,4
153.0,934,4
154.0,939,4
155.0,943,4
156.0,945,4
157.0,956,2
158.0,959,2
159.0,967,4
160.0,973,4
161.0,978,5
162.0,986,5
163.0,991,5
164.0,991,5
165.0,991,4
166.0,999,4
167.0,1012,5
168.0,1015,5
169.0,1023,4
170.0,1027,5
171.0,1027,4
172.0,1033,4
173.0,1039,3
174.0,1046,4
175.0,1053,5
