time,queue_length,active_servers
1.0,8,4
2.0,10,4
3.0,17,4
4.0,26,5
5.0,28,5
6.0,31,5
7.0,37,4
8.0,44,4
9.0,48,4
10.0,54,4
11.0,59,3
12.0,66,4
13.0,73,4
14.0,78,4
15.0,85,5
16.0,88,4
17.0,90,5
18.0,95,4
19.0,103,3
20.0,103,5
21.0,103,4
22.0,107,5
23.0,117,4
24.0,120,5
25.0,121,5
26.0,129,5
27.0,136,5
28.0,144,5
29.0,150,4
30.0,161,4
31.0,165,4
32.0,169,4
33.0,176,5
34.0,188,5
35.0,196,5
36.0,204,5
37.0,209,5
38.0,213,5
39.0,225,4
40.0,230,4
41.0,233,4
42.0,236,5
43.0,244,5
44.0,254,5
45.0,257,5
46.0,259,5
47.0,263,5
48.0,267,4
49.0,278,5
50.0,283,5
51.0,297,5
52.0,304,4
53.0,308,4
54.0,315,4
55.0,315,4
56.0,327,4
57.0,330,4
58.0,335,3
59.0,340,4
60.0,346,5
61.0,349,5
62.0,358,4
63.0,365,4
64.0,372,4
65.0,380,4
66.0,393,4
67.0,396,5
68.0,398,5
69.0,406,5
70.0,411,5
71.0,421,5
72.0,424,5
73.0,431,5
74.0,437,5
75.0,437,5
76.0,445,4
77.0,451,5
78.0,458,5
79.0,461,5
80.0,468,5
81.0,474,5
82.0,474,5
83.0,477,5
84.0,488,4
85.0,495,4
86.0,498,4
87.0,501,5
88.0,508,5
89.0,521,4
90.0,525,4
91.0,535,4
92.0,537,4
93.0,549,5
94.0,556,5
95.0,557,5
96.0,566,5
97.0,575,4
98.0,581,4
99.0,587,4
100.0,598,3
101.0,610,3
102.0,616,3
103.0,623,4
104.0,629,4
105.0,633,4
106.0,630,4
107.0,640,4
108.0,643,4
109.0,651,5
110.0,657,5
111.0,662,5
112.0,667,5
113.0,675,5
114.0,679,5
115.0,685,4
116.0,687,4
117.0,693,4
118.0,702,4
119.0,715,4
120.0,721,4
121.0,726,4
122.0,732,4
123.0,733,3
124.0,739,4
125.0,744,5
126.0,745,5
127.0,749,5
128.0,755,5
129.0,759,5
130.0,764,5
131.0,771,5
132.0,783,5
133.0,789,4
134.0,794,5
135.0,805,5
136.0,807,5
137.0,809,4
138.0,810,4
139.0,812,3
140.0,823,3
141.0,832,4
142.0,836,4
143.0,844,4
144.0,851,3
145.0,862,3
146.0,871,3
147.0,877,4
148.0,882,4
149.0,892,5
150.0,908,3
151.0,915,4
152.0,918,5
153.0,918,5
154.0,922,5
155.0,927,4
156.0,928,5
157.0,936,4
158.0,936,5
159.0,944,5
160.0,950,4
161.0,954,5
162.0,962,5
163.0,966,5
164.0,968,5
165.0,966,5
166.0,975,4
167.0,990,4
168.0,993,5
169.0,1000,5
170.0,1006,4
171.0,1005,4
172.0,1011,4
173.0,1014,5
174.0,1019,5
175.0,1025,5
176.0,1034,4
177.0,1038,5
178.0,1045,5
179.0,1051,5
180.0,1055,2
181.0,1060,4
182.0,1067,4
183.0,1077,4
184.0,1081,5
185.0,1090,5
186.0,1096,4
187.0,1110,4
188.0,1113,4
189.0,1119,5
190.0,1127,4
191.0,1135,3
192.0,1142,3
193.0,1153,3
194.0,1155,4
195.0,1163,5
196.0,1170,5
197.0,1173,4
198.0,1176,5
199.0,1181,5
200.0,1192,5
201.0,1198,5
202.0,1204,5
203.0,1209,5
204.0,1214,5
205.0,1220,5
206.0,1219,5
207.0,1220,5
208.0,1221,5
209.0,1224,5
210.0,1236,5
211.0,1243,5
212.0,1245,5
213.0,1246,5
214.0,1247,5
215.0,1248,5
216.0,1250,5
217.0,1255,5
218.0,1261,5
219.0,1260,5
220.0,1263,5
221.0,1267,5
222.0,1274,5
223.0,1279,5
224.0,1287,4
225.0,1288,4
226.0,1295,4
227.0,1300,4
228.0,1304,4
229.0,1306,4
230.0,1314,4
231.0,1322,5
232.0,1322,5
233.0,1328,5
234.0,1332,5
235.0,1335,5
236.0,1341,5
237.0,1349,4
238.0,1351,4
239.0,1354,4
240.0,1358,4
241.0,1359,4
242.0,1371,3
243.0,1372,5
244.0,1383,5
245.0,1389,5
246.0,1398,5
247.0,1401,5
248.0,1406,5
249.0,1410,5
250.0,1411,5
251.0,1416,5
252.0,1421,4
253.0,1424,5
254.0,1426,5
255.0,1434,5
256.0,1442,4
257.0,1443,5
258.0,1454,5
259.0,1455,5
260.0,1457,5
261.0,1464,5
262.0,1468,5
263.0,1472,5
264.0,1476,5
265.0,1483,4
266.0,1491,4
267.0,1498,3
268.0,1510,3
269.0,1517,4
270.0,1519,4
271.0,1525,5
272.0,1526,5
273.0,1528,5
274.0,1531,5
275.0,1533,5
276.0,1541,5
277.0,1545,4
278.0,1555,3
279.0,1563,4
280.0,1565,5
281.0,1569,4
282.0,1578,3
283.0,1580,4
284.0,1586,5
285.0,1599,4
286.0,1607,4
287.0,1614,4
288.0,1618,5
289.0,1623,5
290.0,1626,4
291.0,1636,4
292.0,1644,4
293.0,1645,3
294.0,1656,3
295.0,1661,3
296.0,1666,3
297.0,1674,4
298.0,1677,4
299.0,1679,4
300.0,1685,4
301.0,1696,4
302.0,1703,4
303.0,1704,5
304.0,1709,5
305.0,1711,5
306.0,1717,5
307.0,1725,5
308.0,1731,5
309.0,1735,5
310.0,1736,5
311.0,1740,5
312.0,1746,5
313.0,1756,4
314.0,1758,5
315.0,1766,5
316.0,1773,5
317.0,1773,5
318.0,1782,5
319.0,1791,5
320.0,1794,5
321.0,1796,5
322.0,1800,4
323.0,1806,4
324.0,1815,4
325.0,1819,4
326.0,1827,4
327.0,1834,4
328.0,1840,4
329.0,1852,3
330.0,1863,3
331.0,1868,4
332.0,1871,5
333.0,1877,5
334.0,1878,5
335.0,1878,5
336.0,1881,5
337.0,1887,5
338.0,1890,5
339.0,1901,4
340.0,1907,5
341.0,1914,4
342.0,1919,5
343.0,1919,5
344.0,1923,4
345.0,1926,5
346.0,1933,5
347.0,1940,5
348.0,1947,5
349.0,1953,5
350.0,1958,5
351.0,1961,5
352.0,1962,5
353.0,1969,5
354.0,1976,5
355.0,1984,5
356.0,1987,5
357.0,1993,4
358.0,2003,5
359.0,2016,5
360.0,2018,5
361.0,2027,5
362.0,2041,2
363.0,2046,2
364.0,2058,4
365.0,2061,4
366.0,2072,4
367.0,2080,4
368.0,2095,3
369.0,2099,4
370.0,2104,3
371.0,2108,5
372.0,2107,5
373.0,2112,5
374.0,2117,4
375.0,2127,4
376.0,2130,4
377.0,2139,5
378.0,2148,5
379.0,2160,5
380.0,2168,5
381.0,2174,5
382.0,2182,5
383.0,2186,5
384.0,2188,5
385.0,2191,5
386.0,2195,5
387.0,2192,5
388.0,2196,5
389.0,2204,5
390.0,2208,5
391.0,2220,5
392.0,2226,5
393.0,2237,5
394.0,2244,5
395.0,2246,5
396.0,2249,5
397.0,2259,4
398.0,2263,5
399.0,2271,5
400.0,2281,4
401.0,2286,3
402.0,2294,3
403.0,2298,4
404.0,2305,4
405.0,2305,5
406.0,2311,4
407.0,2319,5
408.0,2322,4
409.0,2331,4
410.0,2340,5
411.0,2348,4
412.0,2357,4
413.0,2365,4
414.0,2368,5
415.0,2377,5
416.0,2387,4
417.0,2397,3
418.0,2407,4
419.0,2417,4
420.0,2421,4
421.0,2431,4
422.0,2437,5
423.0,2444,5
424.0,2452,5
425.0,2460,5
426.0,2473,5
427.0,2480,5
428.0,2483,5
429.0,2485,4
430.0,2489,4
431.0,2498,4
432.0,2507,4
433.0,2512,5
434.0,2519,5
435.0,2524,5
436.0,2531,5
437.0,2533,4
438.0,2542,3
439.0,2557,3
440.0,2561,5
441.0,2565,5
442.0,2575,5
443.0,2577,5
444.0,2583,5
445.0,2592,5
446.0,2606,5
447.0,2614,5
448.0,2615,5
449.0,2627,5
450.0,2635,5
451.0,2637,4
452.0,2647,3
453.0,2650,4
454.0,2652,3
455.0,2656,4
456.0,2660,4
457.0,2664,5
458.0,2670,5
459.0,2678,5
460.0,2683,5
461.0,2685,5
462.0,2692,5
463.0,2699,5
464.0,2702,5
465.0,2702,5
466.0,2707,5
467.0,2713,5
468.0,2721,5
469.0,2722,5
470.0,2729,5
471.0,2735,4
472.0,2741,4
473.0,2748,3
474.0,2755,3
475.0,2759,2
476.0,2763,3
477.0,2773,4
478.0,2777,4
479.0,2784,4
480.0,2790,4
481.0,2792,5
482.0,2793,4
483.0,2796,5
484.0,2807,3
485.0,2814,2
486.0,2826,3
487.0,2832,3
488.0,2838,4
489.0,2852,3
490.0,2857,3
491.0,2869,3
492.0,2877,3
493.0,2888,2
494.0,2892,3
495.0,2908,4
496.0,2917,5
497.0,2921,5
498.0,2926,5
499.0,2927,5
500.0,2942,5
501.0,2948,5
502.0,2957,5
503.0,2971,5
504.0,2977,3
505.0,2978,5
506.0,2981,5
507.0,2985,5
508.0,2993,4
509.0,2995,4
510.0,3003,4
511.0,3006,4
512.0,3009,5
513.0,3006,5
514.0,3011,4
515.0,3008,5
516.0,3014,5
517.0,3018,5
518.0,3023,5
519.0,3024,5
520.0,3027,5
521.0,3029,5
522.0,3045,4
523.0,3055,4
524.0,3064,5
525.0,3071,4
526.0,3081,4
527.0,3089,4
528.0,3094,4
529.0,3098,5
530.0,3098,5
531.0,3105,5
532.0,3114,5
533.0,3117,5
534.0,3128,4
535.0,3137,5
536.0,3144,4
537.0,3148,4
538.0,3153,4
539.0,3157,5
540.0,3159,5
541.0,3161,5
542.0,3167,5
543.0,3174,5
544.0,3178,5
545.0,3183,5
546.0,3190,4
547.0,3197,4
548.0,3203,5
549.0,3212,5
550.0,3224,5
551.0,3226,5
552.0,3229,5
553.0,3234,5
554.0,3237,5
555.0,3245,5
556.0,3250,4
557.0,3258,4
558.0,3262,5
559.0,3265,5
560.0,3268,5
561.0,3275,5
562.0,3281,5
563.0,3294,5
564.0,3304,4
565.0,3317,5
566.0,3319,5
567.0,3327,4
568.0,3333,3
569.0,3343,3
570.0,3351,5
571.0,3358,5
572.0,3364,5
573.0,3371,5
574.0,3373,5
575.0,3381,4
576.0,3384,4
577.0,3391,5
578.0,3398,5
579.0,3402,5
580.0,3403,5
581.0,3412,4
582.0,3415,5
583.0,3417,5
584.0,3419,5
585.0,3419,5
586.0,3421,5
587.0,3430,5
588.0,3437,5
589.0,3440,5
590.0,3445,5
591.0,3450,5
592.0,3452,5
593.0,3453,5
594.0,3461,5
595.0,3472,5
596.0,3477,5
597.0,3484,4
598.0,3490,4
599.0,3492,4
600.0,3496,3
601.0,3499,5
602.0,3504,5
603.0,3508,5
604.0,3514,5
605.0,3528,3
606.0,3532,5
607.0,3540,5
608.0,3541,5
609.0,3547,5
610.0,3550,4
611.0,3561,4
612.0,3568,4
613.0,3570,4
614.0,3575,4
615.0,3584,2
616.0,3599,3
617.0,3602,5
618.0,3606,5
619.0,3614,4
620.0,3623,3
621.0,3626,3
622.0,3635,4
623.0,3637,4
624.0,3640,5
625.0,3647,5
626.0,3657,4
627.0,3662,4
628.0,3668,4
629.0,3673,4
630.0,3680,3
631.0,3690,3
632.0,3698,5
633.0,3702,5
634.0,3710,5
635.0,3715,5
636.0,3730,4
637.0,3733,3
638.0,3738,4
639.0,3739,4
640.0,3742,4
641.0,3750,4
642.0,3755,4
643.0,3762,4
644.0,3771,4
645.0,3781,3
646.0,3786,5
