event_type,time
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
completion,66.0
completion,66.0
completion,66.0
completion,66.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
completion,67.0
completion,67.0
completion,67.0
completion,67.0
recovery,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
completion,68.0
completion,68.0
completion,68.0
completion,68.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
completion,69.0
completion,69.0
completion,69.0
completion,69.0
completion,69.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
completion,70.0
completion,70.0
completion,70.0
completion,70.0
completion,70.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
completion,71.0
completion,71.0
completion,71.0
completion,71.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
completion,72.0
completion,72.0
completion,72.0
completion,72.0
completion,72.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
completion,73.0
completion,73.0
completion,73.0
completion,73.0
completion,73.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
completion,74.0
completion,74.0
completion,74.0
completion,74.0
completion,74.0
arrival,75.0
arrival,75.0
arrival,75.0
arrival,75.0
arrival,75.0
completion,75.0
completion,75.0
completion,75.0
completion,75.0
completion,75.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
completion,76.0
completion,76.0
completion,76.0
completion,76.0
completion,76.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
completion,77.0
completion,77.0
completion,77.0
completion,77.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
completion,78.0
completion,78.0
completion,78.0
completion,78.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
completion,79.0
completion,79.0
completion,79.0
completion,79.0
failure,80.0
failure,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
completion,80.0
completion,80.0
completion,80.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
completion,81.0
completion,81.0
completion,81.0
failure,82.0
arrival,82.0
arrival,82.0
arrival,82.0
arrival,82.0
arrival,82.0
completion,82.0
completion,82.0
recovery,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
completion,83.0
completion,83.0
recovery,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
completion,84.0
completion,84.0
completion,84.0
recovery,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
completion,85.0
completion,85.0
completion,85.0
completion,85.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
completion,86.0
completion,86.0
completion,86.0
completion,86.0
completion,86.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
completion,87.0
completion,87.0
completion,87.0
completion,87.0
completion,87.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
completion,88.0
completion,88.0
completion,88.0
completion,88.0
completion,88.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
completion,89.0
completion,89.0
completion,89.0
completion,89.0
failure,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
completion,90.0
completion,90.0
completion,90.0
completion,90.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
